Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 10690 | GridSize: 104
Generation 2 | Revalues: 13990 | GridSize: 143
Generation 3 | Revalues: 15330 | GridSize: 159
Generation 4 | Revalues: 17730 | GridSize: 151
Generation 5 | Revalues: 20980 | GridSize: 152
Generation 6 | Revalues: 22560 | GridSize: 171
Generation 7 | Revalues: 24310 | GridSize: 172
Generation 8 | Revalues: 26600 | GridSize: 165
Generation 9 | Revalues: 28180 | GridSize: 157
Generation 10 | Revalues: 29630 | GridSize: 173
Generation 11 | Revalues: 31300 | GridSize: 173
Generation 12 | Revalues: 33470 | GridSize: 174
Generation 13 | Revalues: 34720 | GridSize: 181
Generation 14 | Revalues: 36440 | GridSize: 175
Generation 15 | Revalues: 37500 | GridSize: 181
Generation 16 | Revalues: 38640 | GridSize: 179
Generation 17 | Revalues: 39850 | GridSize: 187
Generation 18 | Revalues: 41060 | GridSize: 188
Generation 19 | Revalues: 42540 | GridSize: 191
Generation 20 | Revalues: 43620 | GridSize: 192
Generation 21 | Revalues: 45740 | GridSize: 182
Generation 22 | Revalues: 46880 | GridSize: 180
Generation 23 | Revalues: 48170 | GridSize: 179
Generation 24 | Revalues: 49360 | GridSize: 181
Generation 25 | Revalues: 51400 | GridSize: 183
Generation 26 | Revalues: 52720 | GridSize: 195
Generation 27 | Revalues: 53720 | GridSize: 205
Generation 28 | Revalues: 54820 | GridSize: 212
Generation 29 | Revalues: 56400 | GridSize: 204
Generation 30 | Revalues: 57770 | GridSize: 204
Generation 31 | Revalues: 59410 | GridSize: 199
Generation 32 | Revalues: 60560 | GridSize: 201
Generation 33 | Revalues: 61640 | GridSize: 203
Generation 34 | Revalues: 62790 | GridSize: 212
Generation 35 | Revalues: 63810 | GridSize: 222
Generation 36 | Revalues: 64910 | GridSize: 225
Generation 37 | Revalues: 66040 | GridSize: 222
Generation 38 | Revalues: 67220 | GridSize: 224
Generation 39 | Revalues: 68240 | GridSize: 231
Generation 40 | Revalues: 69280 | GridSize: 233
Generation 41 | Revalues: 70350 | GridSize: 237
Generation 42 | Revalues: 71400 | GridSize: 243
Generation 43 | Revalues: 72430 | GridSize: 246
Generation 44 | Revalues: 73500 | GridSize: 236
Generation 45 | Revalues: 74670 | GridSize: 231
Generation 46 | Revalues: 75730 | GridSize: 236
Generation 47 | Revalues: 76770 | GridSize: 236
Generation 48 | Revalues: 77830 | GridSize: 233
Generation 49 | Revalues: 78860 | GridSize: 239
Generation 50 | Revalues: 80060 | GridSize: 247
Generation 51 | Revalues: 81270 | GridSize: 233
Generation 52 | Revalues: 82370 | GridSize: 230
Generation 53 | Revalues: 83390 | GridSize: 236
Generation 54 | Revalues: 84500 | GridSize: 238
Generation 55 | Revalues: 85510 | GridSize: 238
Generation 56 | Revalues: 86530 | GridSize: 246
Generation 57 | Revalues: 88160 | GridSize: 235
Generation 58 | Revalues: 89260 | GridSize: 234
Generation 59 | Revalues: 90470 | GridSize: 229
Generation 60 | Revalues: 91750 | GridSize: 228
Generation 61 | Revalues: 92940 | GridSize: 230
Generation 62 | Revalues: 94310 | GridSize: 236
Generation 63 | Revalues: 95370 | GridSize: 239
Generation 64 | Revalues: 96400 | GridSize: 240
Generation 65 | Revalues: 97590 | GridSize: 241
Generation 66 | Revalues: 98650 | GridSize: 243
Generation 67 | Revalues: 99900 | GridSize: 243
Generation 68 | Revalues: 101000 | GridSize: 247
Generation 69 | Revalues: 102030 | GridSize: 238
Generation 70 | Revalues: 103290 | GridSize: 241
Generation 71 | Revalues: 104400 | GridSize: 248
Generation 72 | Revalues: 105410 | GridSize: 251
Generation 73 | Revalues: 106480 | GridSize: 252
Generation 74 | Revalues: 107520 | GridSize: 252
Generation 75 | Revalues: 108520 | GridSize: 253
Generation 76 | Revalues: 109610 | GridSize: 247
Generation 77 | Revalues: 110810 | GridSize: 248
Generation 78 | Revalues: 111820 | GridSize: 255
Generation 79 | Revalues: 112920 | GridSize: 262
Generation 80 | Revalues: 114010 | GridSize: 267
Generation 81 | Revalues: 115020 | GridSize: 272
Generation 82 | Revalues: 116190 | GridSize: 273
Generation 83 | Revalues: 117290 | GridSize: 277
Generation 84 | Revalues: 118290 | GridSize: 286
Generation 85 | Revalues: 119350 | GridSize: 286
Generation 86 | Revalues: 120360 | GridSize: 293
Generation 87 | Revalues: 121410 | GridSize: 286
Generation 88 | Revalues: 122490 | GridSize: 290
Generation 89 | Revalues: 123710 | GridSize: 289
Generation 90 | Revalues: 124780 | GridSize: 291
Generation 91 | Revalues: 125940 | GridSize: 297
