Generation 0 | Revalues: 100 | GridSize: 9
Generation 1 | Revalues: 11760 | GridSize: 110
Generation 2 | Revalues: 13920 | GridSize: 122
Generation 3 | Revalues: 16040 | GridSize: 123
Generation 4 | Revalues: 18270 | GridSize: 107
Generation 5 | Revalues: 20020 | GridSize: 125
Generation 6 | Revalues: 21330 | GridSize: 131
Generation 7 | Revalues: 22900 | GridSize: 131
Generation 8 | Revalues: 24360 | GridSize: 139
Generation 9 | Revalues: 25470 | GridSize: 140
Generation 10 | Revalues: 27120 | GridSize: 136
Generation 11 | Revalues: 28240 | GridSize: 137
Generation 12 | Revalues: 29880 | GridSize: 143
Generation 13 | Revalues: 31170 | GridSize: 142
Generation 14 | Revalues: 32480 | GridSize: 142
Generation 15 | Revalues: 33620 | GridSize: 149
Generation 16 | Revalues: 35080 | GridSize: 155
Generation 17 | Revalues: 36440 | GridSize: 162
Generation 18 | Revalues: 37640 | GridSize: 160
Generation 19 | Revalues: 38960 | GridSize: 163
Generation 20 | Revalues: 40210 | GridSize: 158
Generation 21 | Revalues: 41430 | GridSize: 165
Generation 22 | Revalues: 42920 | GridSize: 166
Generation 23 | Revalues: 44340 | GridSize: 155
Generation 24 | Revalues: 45570 | GridSize: 168
Generation 25 | Revalues: 46780 | GridSize: 167
Generation 26 | Revalues: 48140 | GridSize: 173
Generation 27 | Revalues: 49220 | GridSize: 166
Generation 28 | Revalues: 50390 | GridSize: 168
Generation 29 | Revalues: 51800 | GridSize: 168
Generation 30 | Revalues: 52960 | GridSize: 167
Generation 31 | Revalues: 54060 | GridSize: 171
Generation 32 | Revalues: 55620 | GridSize: 164
Generation 33 | Revalues: 57000 | GridSize: 163
Generation 34 | Revalues: 58450 | GridSize: 163
Generation 35 | Revalues: 59560 | GridSize: 160
Generation 36 | Revalues: 60610 | GridSize: 163
Generation 37 | Revalues: 61680 | GridSize: 165
Generation 38 | Revalues: 62830 | GridSize: 168
Generation 39 | Revalues: 63940 | GridSize: 166
Generation 40 | Revalues: 65020 | GridSize: 157
Generation 41 | Revalues: 66260 | GridSize: 161
Generation 42 | Revalues: 67890 | GridSize: 170
Generation 43 | Revalues: 69170 | GridSize: 164
Generation 44 | Revalues: 70390 | GridSize: 166
Generation 45 | Revalues: 71550 | GridSize: 168
Generation 46 | Revalues: 72810 | GridSize: 159
Generation 47 | Revalues: 74020 | GridSize: 154
Generation 48 | Revalues: 75140 | GridSize: 158
Generation 49 | Revalues: 76250 | GridSize: 164
Generation 50 | Revalues: 77500 | GridSize: 163
Generation 51 | Revalues: 78630 | GridSize: 167
